x,y,z
-1.675418,-3.5615559,0.18182409
3.9806037,-10.353451,11.056458
15.788295,-6.8117747,3.9053373
11.759729,-8.110737,4.8598504
8.843137,-11.952792,0.86216575
7.3055677,-16.994574,-0.70344496
9.675098,-12.044906,-3.5776772
4.127262,-10.942173,10.9320345
4.964721,-14.015974,0.9426578
-1.0609713,3.4001706,3.5245376
6.0445843,-12.920371,11.076744
8.211881,-8.118709,10.136472
5.0318255,-12.130265,14.159975
5.489174,-18.954689,-0.17521298
-1.4778969,-12.940518,6.3666964
5.4278436,-14.035818,9.27474
3.8620446,-12.717836,11.832114
6.8262043,-18.704977,-0.6972272
10.364268,-11.496727,0.98621804
10.18919,-6.978775,2.2087638
6.4146705,-5.9306993,4.1180577
6.2614493,-15.78255,2.8195508
6.9766803,-20.077936,-0.327451
3.2663472,-11.252553,9.012962
6.1996512,6.740231,-7.5263076
5.3469067,-11.021107,6.482675
5.3826375,9.007473,-2.0934732
11.759209,2.5420134,1.7214501
-2.2372007,4.1424546,0.753406
8.398393,-1.1570073,5.0407596
6.2356296,-9.838074,10.740733
6.3420916,-12.631566,9.704384
8.615511,-11.079297,11.364354
4.781021,-11.354983,14.019193
5.7472477,-10.822222,10.8042965
6.519138,18.536356,0.40542206
-1.8632251,-0.5624435,-4.9301915
-12.742138,12.649758,-0.69214207
7.3586516,-10.064375,7.9707108
5.502422,-11.582904,14.009197
6.3903418,-8.898396,9.480487
2.2262862,13.102167,-2.8038123
2.540215,-12.2117815,7.713838
4.14962,1.8573571,0.7580716
6.399988,0.64903295,2.3359895
5.489423,-17.931526,1.8734912
-0.1933587,6.1189227,2.032619
5.5318885,-12.03604,11.78372
3.684395,-12.8626585,12.513876
10.003381,-19.296532,-1.4111468
-8.586056,10.235918,3.4907515
5.0328007,-11.090087,-4.8354096
7.859482,-9.983237,11.646469
6.8533416,-7.347484,11.016734
7.95506,-10.810709,10.951112
6.137028,-7.134318,10.850895
3.0708048,-9.352666,8.542468
11.860176,3.0351458,0.9665254
-3.798319,9.615363,-6.995731
-0.07316629,6.102375,1.6950678
5.730445,-9.254045,11.459211
5.4800367,-11.512479,13.188182
0.49623933,10.032338,-6.044411
5.922851,-12.786321,11.83114
2.5894957,-11.223694,9.41096
6.0626426,-7.479174,10.832186
11.119494,-11.672335,0.9899961
3.3102593,-23.890224,-0.4449036
3.010449,-7.121114,2.7408283
6.4408255,-12.374461,10.99389
10.039926,-19.417145,-1.529126
11.62603,-7.4314933,4.896903
9.438151,2.040173,3.5173507
9.51585,-14.889012,1.8799888
5.693699,-19.159695,-0.12012238
-6.503223,8.195856,-1.7783248
2.8896613,11.519135,-4.906171
10.173596,6.4424047,-2.9024205
11.632265,-7.8593516,5.1236086
4.1856103,14.210337,-3.5103092
2.0855324,-5.5772,2.6301928
-3.3430326,0.018024193,15.781384
4.8812966,-1.500586,2.646942
6.279476,-10.148544,12.560014
7.8921843,-9.368296,11.083003
-19.768559,3.2756965,-11.723854
7.324034,-10.343694,13.198295
3.5026135,-13.156771,12.864945
14.018065,-5.958373,1.7745326
4.946406,-7.17433,2.071866
3.9066265,-11.324889,8.504113
7.6990585,-8.515013,4.688591
7.007248,-15.389172,-6.613761
-1.659731,5.7419977,-3.0243025
11.763504,2.6137931,3.5533226
4.9859667,-17.770866,1.9979272
11.773443,-12.257922,0.25947484
-0.3831605,-13.634299,0.6214284
2.5428889,-12.575541,8.191456
9.803408,-12.044164,-3.6887977
4.031075,2.1591105,2.9860857
-4.425209,5.8385353,1.3708252
8.109243,-11.722551,9.411375
-3.5119562,9.626797,-7.2832394
6.7889276,-11.038134,9.695984
12.178609,-3.1340594,0.6520679
1.3263605,12.70361,-6.5272794
15.493868,-5.667269,2.6082902
1.4915549,10.6769705,-7.374248
2.2282686,-12.635002,9.439908
4.294887,-19.456524,-2.2447176
7.4868245,-10.333329,9.128362
8.648799,-18.081322,2.865524
7.7868557,-8.490029,11.90804
7.01811,4.801439,7.796987
11.475346,3.1675825,-3.5356607
0.3706839,-11.607566,8.2805605
3.3823817,-12.014077,10.297321
2.7630563,-12.433399,11.857104
0.5845452,-11.589435,8.372508
5.610057,-12.46157,11.4404955
8.147358,-11.470955,8.831599
-2.0459888,6.82224,-1.0680004
11.508207,3.2985618,2.062264
3.639601,-14.149118,9.450448
3.17061,-8.612887,6.3893805
7.9872355,-9.505644,11.243343
11.125607,6.157272,-1.5020424
-5.9550967,11.083422,-5.5862556
1.6369576,-13.654746,7.24543
6.385818,-12.462093,8.739251
1.6121219,-12.374469,7.750081
9.9511,-5.4175277,2.2631326
-10.258376,9.217306,3.5462615
5.6930265,-12.840859,1.0560786
5.296923,-9.968632,11.861775
6.7860613,-11.1780205,12.378879
0.0021186264,-16.318222,1.4874562
3.6098013,-12.790737,12.042957
7.268675,-10.075557,8.115285
2.6512358,-13.970322,5.7657795
9.947947,-20.384443,-2.5202217
3.9063606,-11.612005,8.344942
6.3662825,-11.360545,14.450622
8.4069805,-11.531144,8.635989
6.085001,-13.299764,9.712834
2.1162593,-11.49687,8.102344
7.1694245,-12.167429,0.4085413
10.84198,-9.155838,1.1798736
8.401306,-9.577062,11.973381
-12.764457,12.620004,0.33339167
4.484448,-13.742237,10.038578
6.012192,-11.44078,10.959048
